Tag-date code, Genome sequenced,Cap date,Grid,Trap,Species,Tag1,Tag,recap?,FEC date,Initials,feces wt,no feces wt,Eimeria - sporulated,Eimeria - large,Eimeria - small,A. amer,S. pero,C. amer,Nem A,Nem B,Nem C,Tapeworm,Blastocystis,other,Notes,EPG-Eimeria,Eimeria y/n,EPG-Nematode,Nematode y/n,,Eim spor epg,Eim spor YN,Eim large epg,Eim large YN,Eim small epg,Eim small YN,Coccida epg,Coccidia YN,A. amer epg,A. amer YN,Nem A epg,Nem A YN,Nem C epg,Nem C YN,Nem YN,Blastocystis epg,Blastocystis YN
940-43650,940,7/4/19,HM1,D4,PM,PM-43650,940,#N/A,8/9/19,,0.0558,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
942-43650,942,7/4/19,HM1,E5,PM,PM-43650,942,#N/A,8/7/19,#N/A,0.0564,,0,0,0,0,0,0,0,0,0,0,4,,4 UKN (001-002 SET) (003) ,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.92198582,1
946-43650,946,7/4/19,RC2,D1,PM,PM-43650,946,946,8/2/19,,0.1507,,0,0,0,0,0,0,0,0,0,0,2,,1 SPORULATED BL. 001,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.27140013,1
1510-43657,1510,7/11/19,NK2,E4,PM,PM-43657,1510,#N/A,8/10/19,,0.1644,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538-43685,1538,8/8/19,FH2,C5,PM ,PM -43685,1538,1538,10/4/19,0.0789,0.1176,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.503401361,1
1599-43643,1599,6/27/19,NK1,B4,PM ,PM -43643,1599,#N/A,8/2/19,,0.1319,,0,0,0,0,0,0,0,0,0,0,6,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.48900682,1
1603-43647,1603,7/1/19,NK2,D5,PM,PM-43647,1603,#N/A,8/2/19,,0.0545,,0,0,0,0,0,0,0,0,0,0,6,,001- POLLEN 002-007- UKN,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0917431,1
1610-43647,1610,7/1/19,RC1,D3,PM,PM-43647,1610,#N/A,8/2/19,,0.0104,,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.15384615,1
1617-43663,1617,7/17/19,RC2,D1,PM ,PM -43663,1617,1617,9/29/19,0.1274,0.1661,1,0,0,0,0,0,31,0,0,0,0,15,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.30704395,1
1618-43663,1618,7/17/19,RC2,C2,PM ,PM -43663,1618,1618,9/29/19,0.0383,0.077,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324/1543-43683,1324/1543,8/6/19,HM1,E1,PM,PM-43683,1324/1543,#N/A,8/7/19,#N/A,0.0911,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO TAG-43643,NO TAG,6/27/19,NK1,D1,PM,PM-43643,NO TAG,#N/A,8/2/19,,0.4159,,0,0,0,0,0,0,0,0,0,0,0,,"A BIT SPILLED, 3 PHOTOS-001 AND 002 POLLEN, 003 UKN",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621-43655,#N/A,7/9/19,FH2,D2,PM,PM-43655,1621,#N/A,8/2/19,,0.0886,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
