compound,detected,source,solvent
dibenzofuran,1,1515,chloroform
diphenylacetic acid,1,1515,chloroform
lignin cw 265,1,1515,chloroform
5-methoxypsoralen,1,1515,chloroform
veratryglycerol-b-guaiacyl ether,1,1515,chloroform
H-b-S-OH or 2-methylbenzyl alcohol,1,1515,chloroform
Phenyl Acetate,1,1515,chloroform
tropine,1,1515,chloroform
G-5-O-4-G diacetate,1,1515,chloroform
lignin cw 295 or 130 or 265,1,1515,chloroform
methyl jasmonate,1,1515,chloroform
lignin cw 131 or 34 or 264 or 132,1,1515,chloroform
lignin cw 2,1,1515,chloroform
(+)-pulegone,1,1515,chloroform
linoleic acid,1,1515,chloroform
pinocarveol,1,1515,chloroform
procyclidine,1,1515,chloroform
lignin cw 293,1,1515,chloroform
ergocalciferol,1,1515,chloroform
lignin cw 296 or 282,1,1515,chloroform
linoleic acid,1,1515,chloroform
lignin cw 296,1,1515,DMSO
boldine,1,1515,DMSO
lignin cw 285,1,1515,DMSO
syringin,1,1515,DMSO
aloin,1,1515,DMSO
tetrahydrobiopterin,1,1515,DMSO
p-hydroxyacetophenone,1,1515,DMSO
parthenolide,1,1515,DMSO
estradiene dione-3-keta,1,1515,DMSO
estradiene dione-3-keta,1,1515,DMSO
madecassic acid,1,1515,DMSO
haloperidol,1,1515,DMSO
"13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",1,1515,DMSO
lignin cw 3026,1,1515,DMSO
lignin cw 294,1,1515,DMSO
lignin cw 281,1,1515,DMSO
9-fluorenone or diphenylacetic acid,1,1528,chloroform
lignin cw 134,1,1528,chloroform
"1-(4-Hydroxy-3,5-dimethoxyphenyl)ethanol",1,1528,chloroform
"5-alpha-pregnane-3,20-dione(allo)	",1,1528,chloroform
adrenosterone,1,1528,chloroform
cuminaldehyde,1,1528,chloroform
"	5-alpha-cholestan-3-beta-ol",1,1528,chloroform
"(1S,2S,5R)-(+)-neomenthol",1,1528,chloroform
biphenyl methane or lignin cw 290 or 294 or 3027,1,1528,chloroform
lignin cw 282 or 296,1,1528,chloroform
adrenosterone,1,1528,chloroform
