compound ,detected,source,solvent,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
p-hydroxybenzaldehyde or p-hydroxyacetophenone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-3-hydroxy-2-(2-methoxyphenoxy)propan-1-one	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 135,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
3-hydroxy-2-methyl-4-pyrone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
undecanoic acid,1,Elderberry Leaves,chloroform,,,,,,,pivot wider,,,,,,,,,,,,,,,,,,
h-b-s-oh,1,Elderberry Leaves,chloroform,,,,,,,transpose to switch x and y,,,,,,,,,,,,,,,,,,
"octanoic acid or lignin cw 27 or 287 or 1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetyl-2,6-dimethoxy phenoxy)-3-hydroxypropan-1-one",1,Elderberry Leaves,chloroform,,,,,,,multiple corresspondence analysis,,,,,,,,,,,,,,,,,,
phenyl acetate,1,Elderberry Leaves,chloroform,,,,,,,factomineR,,,,,,,,,,,,,,,,,,
myrtenol,1,Elderberry Leaves,chloroform,,,,,,,compound ,"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one",9-fluorenone,p-hydroxybenzaldehyde or p-hydroxyacetophenone,"1-(4-acetoxy-3,5-dimethoxyphenyl)-3-hydroxy-2-(2-methoxyphenoxy)propan-1-one	",,,"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one",lignin cw 135,,,3-hydroxy-2-methyl-4-pyrone,undecanoic acid,h-b-s-oh,"octanoic acid or lignin cw 27 or 287 or 1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetyl-2,6-dimethoxy phenoxy)-3-hydroxypropan-1-one",phenyl acetate,myrtenol,lignin cw 276,"2,3-diacetoxypropioveratrone	"
lignin cw 276,1,Elderberry Leaves,chloroform,,,,,,,detected,1,1,1,1,,,1,1,,,1,1,1,1,1,1,1,1
"2,3-diacetoxypropioveratrone	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
d-sphingosine,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
quinidine,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
ocimene,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-1,3-diacetoxy-2-[4-(1-acetoxyethyl)-2-methoxyphenoxy]	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
estrone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"(s)-(-)-perillaldehyde or apocynol or 1-(4-hydroxy-3,5-dimethoxyphenyl)ethanol	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
adrenosterone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
adrenosterone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
cuminaldehyde,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
gamma-terpinene,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
